,Length,Mean,Std
ALPHA,7,7.353872168580601,3.617547099301689
ALPHA,8,7.9024445362866595,3.9203640241713997
ALPHA,9,8.428543399044157,4.1825695405078305
ALPHA,10,8.760861017156943,4.414679694393882
ALPHA,11,9.248928580266425,4.638946947778746
ALPHA,12,9.74754040946001,4.837577832673128
ALPHA,13,10.02953914575327,5.102228222643082
ALPHA,14,10.390022531955895,5.187572576092685
ALPHA,15,10.837813336542386,5.39801305736267
ALPHA,16,11.129879949406837,5.665642974586459
ALPHA,17,11.45365951260126,5.7263251050895265
ALPHA,18,11.78407023127965,5.990216888090166
ALPHA,19,12.182757114379053,6.10335383024377
ALPHA,20,12.327850424539966,6.23421297226211
ALPHA,21,12.707447980402113,6.407432925216757
ALPHA,22,12.885221154166194,6.618397333142414
ALPHA,23,13.285692583577822,6.76624934884729
ALPHA,24,13.63287522896996,6.965138535910078
ALPHA,25,13.768241628806315,7.040630044750879
ALPHA,26,14.078155084825216,7.254258580050294
ALPHA,27,14.452971610332222,7.541992485581976
ALPHA,28,14.460272816726091,7.441876544070325
ALPHA,29,14.76171738620827,7.600605498706767
ALPHA,30,15.037583009940898,7.744641732877567
