臺羅,漢字,分連不處理
--guá,我,分寫
--gún,阮,分寫
--i,伊,分寫
--in,in,分寫
--lán,咱,分寫
--lâng,人,不處理
--lí,你,分寫
--lín,恁,分寫
--siánn,啥,分寫
--tsi,之,分寫
--mah,媽,連寫
--meh,妹,連寫
--pah,爸,連寫
--tse,姊,連寫
--tseh,姊,連寫
--tih,弟,連寫
--tshù,厝,連寫
--ka,家,分寫
--sáng,桑,分寫
--sáng,sáng,分寫
--sang,桑,分寫
--sian-sinn,先生,分寫
--sia̋n,先生,分寫
--á,仔,連寫
--tsiá,者,連寫
--ê,的,不處理
--lí,裡,連寫
--e,裡,連寫
--ji̍t,日,連寫
--sî,時,連寫
--tām-po̍h-á,淡薄仔,分寫
--tsi̍t,一,分寫
--tsı̍t,一,分寫
--kuá,寡,分寫
--kuí,幾,分寫
--khí-lâi,起來,補語
--khí-khì,起去,補語
--lâi-khì,來去,補語
--ji̍p-khì,入去,補語
--ji̍p-lâi,入來,補語
--kè-khì,過去,補語
--kuè-lâi,過來,補語
--kuè-khì,過去,補語
--loh-khì,落去,補語
--lo̍h-lâi,落來,補語
--lo̍h-khì,落去,補語
--tńg-lâi,轉來,補語
--tńg-khì,轉去,補語
--tshut-lâi,出去,補語
--tshut-khì,出來,補語
--khì,去,補語
--lâi,來,補語
--kuè,過,補語
--lo̍h,落,補語
--tio̍h,著,補語
--tio̍h,著,補語
--liáu,了,補語
--liáu-liáu,了了,補語
--eh,咧,補語
--leh,咧,補語
--sí,死,補語
--kìnn,見,補語
--tsiá,著,補語
--e,得,補語
--tit,得,補語
--eh,見,補語
--khui,開,補語
--phuà,破,補語
--tn̄g,斷,補語
--sī,是,連寫
--m̄,毋,分寫
--bē,未,分寫
--bē,袂,分寫
--buē,未,分寫
--buē,袂,分寫
--bô,無,分寫
--ah,啊,分寫
--ah,矣,分寫
--ah,啦,分寫
--eh,呃,分寫
--eh,呢,分寫
--hannh,唅,分寫
--heh,嘿,分寫
--hioh,諾,分寫
--hiooh,諾,分寫
--honnh,乎,分寫
--hooh,謼,分寫
--hónn,否,分寫
--í,矣,分寫
--iā,也,分寫
--iah,啊,分寫
--ioh,唷,分寫
--lah,啦,分寫
--lah,啊,分寫
--la̍h,啦,分寫
--lih,哩,分寫
--liooh,liooh,分寫
--looh,囉,分寫
--mah,嘛,分寫
--mah,嗎,分寫
--mah,咩,分寫
--neh,呢,分寫
--nia̋,爾爾,分寫
--nih,呢,分寫
--nih,nih,分寫
--nooh,nooh,分寫
--ooh,喔,分寫
--pah,吧,分寫
--tsai,哉,分寫
--uah,哇,分寫
--ueh,喂,分寫
